# timestamp tx ty tz qx qy qz qw
1760656467.259756 140.902123 -125.488811 0.000000 0.000000 0.000000 0.995035 0.099523
1760656467.493088 140.527050 -125.807076 0.000000 0.000000 0.000000 0.993165 0.116723
1760656467.696491 140.146905 -126.078165 0.000000 0.000000 0.000000 0.991185 0.132488
1760656467.926445 139.765145 -126.315748 0.000000 0.000000 0.000000 0.988314 0.152431
1760656468.159747 139.384416 -126.549512 0.000000 0.000000 0.000000 0.985818 0.167816
1760656468.359757 139.383152 -126.550063 0.000000 0.000000 0.000000 0.982861 0.184347
1760656468.559762 138.969999 -126.768900 0.000000 0.000000 0.000000 0.981687 0.190502
1760656468.763496 138.561313 -126.972007 0.000000 0.000000 0.000000 0.979746 0.200243
1760656468.993089 138.153629 -127.147369 0.000000 0.000000 0.000000 0.976916 0.213625
1760656469.193095 138.152405 -127.147768 0.000000 0.000000 0.000000 0.973716 0.227765
1760656469.426704 137.733406 -127.354828 0.000000 0.000000 0.000000 0.974003 0.226535
1760656469.659756 137.315759 -127.521531 0.000000 0.000000 0.000000 0.972869 0.231355
1760656469.893090 136.900464 -127.650801 0.000000 0.000000 0.000000 0.971130 0.238551
1760656470.093092 136.485359 -127.781952 0.000000 0.000000 0.000000 0.971311 0.237813
1760656470.359756 136.073544 -127.882185 0.000000 0.000000 0.000000 0.970259 0.242069
1760656470.559757 136.072039 -127.882550 0.000000 0.000000 0.000000 0.968179 0.250259
1760656470.793088 135.674635 -127.979299 0.000000 0.000000 0.000000 0.969550 0.244895
1760656470.993091 135.276257 -128.047377 0.000000 0.000000 0.000000 0.970232 0.242179
1760656471.193092 134.881176 -128.091113 0.000000 0.000000 0.000000 0.970441 0.241337
1760656471.426419 134.492202 -128.104175 0.000000 0.000000 0.000000 0.970240 0.242146
1760656471.626428 134.490953 -128.104318 0.000000 0.000000 0.000000 0.969192 0.246306
1760656471.859754 134.071329 -128.099117 0.000000 0.000000 0.000000 0.970017 0.243037
1760656472.059759 133.653588 -128.075964 0.000000 0.000000 0.000000 0.970743 0.240120
1760656472.293090 133.239503 -128.044791 0.000000 0.000000 0.000000 0.971355 0.237633
1760656472.493093 132.850163 -127.973468 0.000000 0.000000 0.000000 0.970944 0.239307
1760656472.693095 132.849042 -127.973382 0.000000 0.000000 0.000000 0.970487 0.241154
1760656472.926422 132.452323 -127.943044 0.000000 0.000000 0.000000 0.970724 0.240197
1760656473.126430 132.060493 -127.886901 0.000000 0.000000 0.000000 0.970879 0.239570
1760656473.326453 131.674312 -127.813259 0.000000 0.000000 0.000000 0.970931 0.239359
1760656473.559768 131.291168 -127.724916 0.000000 0.000000 0.000000 0.970882 0.239559
1760656473.828491 130.902094 -127.628810 0.000000 0.000000 0.000000 0.970726 0.240191
1760656474.059763 130.507862 -127.514410 0.000000 0.000000 0.000000 0.970226 0.242200
1760656474.293088 130.506270 -127.514030 0.000000 0.000000 0.000000 0.969945 0.243324
1760656474.493131 130.078962 -127.380395 0.000000 0.000000 0.000000 0.969048 0.246874
1760656474.726533 129.705066 -127.263587 0.000000 0.000000 0.000000 0.968429 0.249290
1760656474.959720 129.327339 -127.141717 0.000000 0.000000 0.000000 0.966661 0.256061
1760656475.159751 128.945365 -127.015556 0.000000 0.000000 0.000000 0.964327 0.264713
1760656475.359757 128.944276 -127.015168 0.000000 0.000000 0.000000 0.963582 0.267413
1760656475.559772 128.540078 -126.870739 0.000000 0.000000 0.000000 0.960086 0.279704
1760656475.793090 128.138321 -126.731186 0.000000 0.000000 0.000000 0.956427 0.291970
1760656476.026432 127.737087 -126.585148 0.000000 0.000000 0.000000 0.952568 0.304325
1760656476.260741 127.334970 -126.434201 0.000000 0.000000 0.000000 0.948867 0.315677
1760656476.527500 126.974553 -126.298907 0.000000 0.000000 0.000000 0.945834 0.324651
1760656476.794491 126.599749 -126.168414 0.000000 0.000000 0.000000 0.943401 0.331655
1760656477.059763 126.218333 -126.025035 0.000000 0.000000 0.000000 0.941511 0.336982
1760656477.326434 125.831993 -125.869348 0.000000 0.000000 0.000000 0.940585 0.339558
1760656477.526440 125.830531 -125.868673 0.000000 0.000000 0.000000 0.938741 0.344624
1760656477.759756 125.407241 -125.715752 0.000000 0.000000 0.000000 0.941674 0.336527
1760656477.993093 124.991359 -125.553487 0.000000 0.000000 0.000000 0.944439 0.328686
1760656478.226424 124.586816 -125.377191 0.000000 0.000000 0.000000 0.947445 0.319919
1760656478.426432 124.195158 -125.184651 0.000000 0.000000 0.000000 0.950521 0.310659
1760656478.626438 123.811070 -124.987152 0.000000 0.000000 0.000000 0.953862 0.300247
1760656478.829500 123.809811 -124.986645 0.000000 0.000000 0.000000 0.954318 0.298794
1760656479.059755 123.457778 -124.758663 0.000000 0.000000 0.000000 0.957574 0.288188
1760656479.259790 123.122810 -124.522979 0.000000 0.000000 0.000000 0.960387 0.278670
1760656479.461059 122.828458 -124.315871 0.000000 0.000000 0.000000 0.962291 0.272022
1760656479.727520 122.557410 -124.094842 0.000000 0.000000 0.000000 0.963754 0.266794
1760656479.993081 122.330743 -123.850959 0.000000 0.000000 0.000000 0.964956 0.262410
1760656480.193088 122.329675 -123.850222 0.000000 0.000000 0.000000 0.965956 0.258705
1760656480.393106 122.067593 -123.586877 0.000000 0.000000 0.000000 0.966572 0.256397
1760656480.626424 121.795749 -123.330807 0.000000 0.000000 0.000000 0.967680 0.252180
1760656480.859758 121.509267 -123.083906 0.000000 0.000000 0.000000 0.969032 0.246935
1760656481.093088 121.212696 -122.838026 0.000000 0.000000 0.000000 0.970448 0.241312
1760656481.326442 120.908432 -122.589997 0.000000 0.000000 0.000000 0.971710 0.236176
